iter	Passed	Remaining
779	5184	1462
780	5193	1456
781	5204	1450
782	5210	1444
783	5216	1437
784	5221	1430
785	5229	1423
786	5238	1417
787	5243	1410
788	5250	1404
789	5255	1396
790	5261	1390
791	5270	1384
792	5287	1380
793	5293	1373
794	5303	1367
795	5315	1362
796	5325	1356
797	5331	1349
798	5335	1342
799	5340	1335
800	5346	1328
801	5356	1322
802	5363	1315
803	5368	1308
804	5372	1301
805	5377	1294
806	5383	1287
807	5389	1280
808	5396	1274
809	5407	1268
810	5418	1262
811	5424	1255
812	5431	1249
813	5442	1243
814	5451	1237
815	5459	1231
816	5469	1225
817	5475	1218
818	5481	1211
819	5486	1204
820	5491	1197
821	5501	1191
822	5506	1184
823	5513	1177
824	5517	1170
825	5522	1163
826	5530	1156
827	5542	1151
828	5552	1145
829	5563	1139
830	5573	1133
831	5580	1126
832	5585	1119
833	5590	1112
834	5597	1106
835	5604	1099
836	5610	1092
837	5616	1085
838	5620	1078
839	5626	1071
840	5631	1064
841	5636	1057
842	5641	1050
843	5648	1044
844	5653	1037
845	5659	1030
846	5664	1023
847	5669	1016
848	5675	1009
849	5680	1002
850	5685	995
851	5690	988
852	5696	981
853	5700	974
854	5705	967
855	5713	961
856	5718	954
857	5724	947
858	5730	940
859	5735	933
860	5741	926
861	5746	919
862	5750	912
863	5756	906
864	5761	899
865	5766	892
866	5771	885
867	5777	878
868	5789	872
869	5803	867
870	5810	860
871	5819	854
872	5829	847
873	5834	841
874	5843	834
875	5847	827
876	5856	821
877	5861	814
878	5867	807
879	5876	801
880	5884	794
881	5892	788
882	5899	781
883	5905	774
884	5916	768
885	5924	762
886	5930	755
887	5941	749
888	5948	742
889	5961	736
890	5973	730
891	5985	724
892	5996	718
893	6006	712
894	6010	705
895	6015	698
896	6023	691
897	6034	685
898	6046	679
899	6056	672
900	6061	666
901	6066	659
902	6076	652
903	6081	645
904	6091	639
905	6096	632
906	6105	625
907	6110	619
908	6115	612
909	6122	605
910	6126	598
911	6133	591
912	6139	585
913	6144	578
914	6149	571
915	6154	564
916	6159	557
917	6164	550
918	6170	543
919	6176	537
920	6180	530
921	6188	523
922	6193	516
923	6198	509
924	6204	503
925	6209	496
926	6218	489
927	6225	483
928	6239	476
929	6253	470
930	6264	464
931	6277	458
932	6291	451
933	6303	445
934	6314	439
935	6320	432
936	6324	425
937	6330	418
938	6338	411
939	6347	405
940	6352	398
941	6357	391
942	6362	384
943	6368	377
944	6373	370
945	6378	364
946	6383	357
947	6388	350
948	6393	343
949	6400	336
950	6404	330
951	6410	323
952	6418	316
953	6424	309
954	6430	302
955	6434	296
956	6439	289
957	6445	282
958	6450	275
959	6454	268
960	6459	262
961	6465	255
962	6470	248
963	6475	241
964	6481	235
965	6487	228
966	6491	221
967	6498	214
968	6503	208
969	6508	201
970	6514	194
971	6519	187
972	6524	181
973	6532	174
974	6537	167
975	6543	160
976	6547	154
977	6552	147
978	6557	140
979	6563	133
980	6568	127
981	6572	120
982	6580	113
983	6585	107
984	6591	100
985	6596	93
986	6601	86
987	6606	80
988	6612	73
989	6616	66
990	6621	60
991	6628	53
992	6632	46
993	6637	40
994	6643	33
995	6654	26
996	6666	20
997	6675	13
998	6683	6
999	6693	0
